Q1a,Q1b,Q2: CSE 3241 or CSE 5241,Q2: CSE 2331 or 5331,Q2: Stats 3301,Q2: ISE 3200,Q3: Numerical Methods,Q3: Linear Algebra,Q3: Prob and Stats,Q3: Data & Discrete Structures,Q3: Algorithms,Q4: R,Q4: Python,Q4: IDEs,Q4: Jupyter
CSE,Undergrad,yes,yes,no,no,0,1,2,2,1,1,2,2,0
Other,Grad,no,yes,no,no,3,3,2,2,2,1,2,0,2
CSE,Undergrad,yes,yes,no,no,0,2,2,2,2,0,2.5,2,2
Other,Grad,no,no,no,no,1,2,2,2,1,0,2,2,2
Other,Grad,yes,yes,no,no,2,2,2,1,2,0,1,1,1
Other,Grad,yes,no,no,no,2,2,2,2,2,0,1,2,1
Other,Grad,yes,no,yes,no,1,1,2,1,1,1,1,0,0
,Grad,no,no,no,no,3,2,2,3,3,1,2,2,1
CSE,Undergrad,yes,yes,no,no,2,2,2,2,2,0,2,2,0
Math,Grad,no,yes,no,no,3,3,2,2,2,1,2,0,1
Stats,Grad,no,no,yes,no,2,3,3,2,2,3,1,0,1
Stats,Grad,no,no,no,no,1,1,2,2,1,2,1,0,1
Other,,no,no,no,no,2,2,2,0,1,0,1,0,0
Other,Grad,no,yes,no,no,2,2,1,2,2,1,2,0,2
CSE,Undergrad,yes,yes,no,no,1,2,2,2,2,2,1,1,0
Other,Grad,no,yes,no,no,2,2,3,1,2,1,2,1,2
Other,Grad,no,no,no,no,2,2,2,1,1,1,1,1,1
,Grad,no,no,no,no,2,2,2,1,1,0,2,1,0
CSE,,yes,yes,yes,no,2,1,2,2,2,0,1,2,0
Other,Undergrad,yes,yes,no,no,0,2,2,2,2,2,1,2,2
CSE,Undergrad,yes,yes,no,no,1,1,1,1,1,0,1,1,0
ME,Grad,yes,yes,yes,no,2,3,2,2,2,0,1,2,0
Other,Undergrad,yes,no,yes,no,2,1,2,2,2,2,1,2,0
CSE,Undergrad,yes,yes,no,no,2,1,2,2,2,0,2,2,1
CSE,Undergrad,yes,no,no,no,1,2,2,2,2,0,2,1,0
CSE,Undergrad,yes,yes,no,no,2,2,1,1,2,0,1,0,0
Other,,no,no,no,no,2,2,2,1,1,1,1,1,1
CSE,Undergrad,yes,yes,no,no,1,1,1,1,2,0,2,1,0
ME,Grad,no,no,no,no,2,2,2,1,1,1,2,1,2
Stats,Undergrad,yes,no,yes,no,1,2,2,2,1,2,1,2,1
CSE,Undergrad,yes,yes,no,no,0,1,1,2,3,0,3,3,0
