ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-603309,MapQuest,241.0,2,2019-02-15 16:56:38,2019-02-15 17:26:16,34.725163,-86.59635899999999,,,0.0,Lane blocked due to accident on US-231 Memorial Pkwy Southbound at Memorial Pkwy.,,AL-1 S,R,Huntsville,Madison,AL,35805,US,US/Central,KHUA,2019-02-15 16:58:00,57.4,,96.0,29.79,8.0,Calm,,0.01,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-676455,MapQuest,201.0,2,2019-01-26 15:54:00,2019-01-26 16:25:00,32.883579,-80.019722,,,0.0,Accident on I-26 Eastbound at Exits 212B 212B-C 212C I-526.,,I-526 W,R,Charleston,Charleston,SC,29406,US,US/Eastern,KCHS,2019-01-26 15:56:00,55.9,,15.0,30.19,10.0,WNW,3.5,,Scattered Clouds,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2170526,Bing,,4,2018-01-06 10:51:40,2018-01-06 16:51:40,39.979172,-82.98387,39.993840000000006,-82.98501999999999,1.015,Closed between Jack Gibbs Blvd/Exit 109B and E 11th Ave/Exit 110B - Road closed due to accident.,,North Fwy N,R,Columbus,Franklin,OH,43203,US,US/Eastern,KCMH,2018-01-06 10:51:00,8.1,1.4,76.0,30.61,6.0,SSW,3.5,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1162086,MapQuest,201.0,2,2018-05-25 16:12:02,2018-05-25 17:11:49,34.857208,-82.256157,,,0.0,Accident on Garlington Rd at Pelham Rd.,1499.0,Garlington Rd,L,Greenville,Greenville,SC,29615,US,US/Eastern,KGMU,2018-05-25 16:12:00,75.0,,82.0,30.05,10.0,ESE,9.2,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-309058,MapQuest,201.0,2,2016-10-26 19:42:11,2016-10-26 20:26:58,47.662689,-117.357658,,,0.01,Accident on Alki Ave at Freya St.,,E Alki Ave,R,Spokane,Spokane,WA,99202,US,US/Pacific,KSFF,2016-10-26 19:53:00,51.1,,96.0,29.93,10.0,Calm,,0.01,Mostly Cloudy,False,False,True,False,False,False,True,False,False,False,False,True,False,Night,Night,Night,Night
A-1813859,Bing,,4,2016-06-23 19:15:15,2016-06-24 01:15:15,39.267647,-82.87547099999999,39.169059999999995,-82.74393,9.797,Closed between CR-213A/Lancaster Rd and CR-26/Savageville Rd - Road closed due to accident.,,US-35 E,R,Chillicothe,Ross,OH,45601,US,US/Eastern,KLCK,2016-06-23 19:15:00,82.4,,62.0,29.86,10.0,North,12.7,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1677504,MapQuest,201.0,3,2017-08-08 15:30:29,2017-08-08 16:14:34,38.875252,-76.97483100000001,,,0.0,Right hand shoulder blocked due to accident on DC-295 Anacostia Fwy Northbound at Exit 1A Pennsylvania Ave.,,Anacostia Fwy S,R,Washington,District of Columbia,DC,20020,US,US/Eastern,KWBC,2017-08-08 15:05:00,,,,,,North,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2102672,Bing,,2,2018-07-14 08:16:24,2018-07-14 08:46:18,34.152027000000004,-118.143394,34.152027000000004,-118.143394,0.0,At CA-134 - Accident. Right lane blocked.,,Foothill Fwy W,R,Pasadena,Los Angeles,CA,91101,US,US/Pacific,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-763662,MapQuest,201.0,3,2018-11-11 10:22:17,2018-11-11 10:51:29,37.828934000000004,-122.29377,,,0.0,Accident on I-80 I-580 Westbound at Powell St E.,,I-580 E,R,Oakland,Alameda,CA,94607,US,US/Pacific,KOAK,2018-11-11 09:53:00,66.0,,17.0,30.12,6.0,Variable,4.6,,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2142650,Bing,,2,2018-03-02 19:16:19,2018-03-03 01:16:19,35.373683,-90.279449,35.373683,-90.279449,0.0,At US-63/AR-77/Exit 23 - Accident.,,US-61 N,R,Gilmore,Crittenden,AR,72339,US,US/Central,KAWM,2018-03-02 18:53:00,48.9,,69.0,30.34,10.0,NE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
